"Partnumber","Description","Qty in Stock" as text,"Qty in Stock","UM","S.O. Qty Open" as text,"S.O. Qty Open","P.O. Qty Open" as text,"P.O. Qty Open","Type","Rev","NSN","Alt","MFG","MFG Name","Recommended Vendor","Buy/Make" as text,"Buy/Make","Cond","Consigned" as text,"Consigned","QA/Inspc" as text,"QA/Inspc","Transport" as text,"Transport","Quarantine" as text,"Quarantine","Category","Lead Time","Range" as text,"Range","Asset Type" as text,"Asset Type","ATA Chapter","Trim Numeric","Punctuation","Schedule B","ECCN","BOM","Image(s)"
"03SH.190H14-48-96","3003-H14 Sheet .190"" x 48"" x 96""","5,891.400","5891.4","LB","0.000","0","0.000","0","SH","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="03190144896",="03SH190H144896","","","","Y"
="05CE-2127-312",="6005A CUST EXT AL HDR TOP SIDE STFNR - LH - 312""","0.000","0","LB","0.000","0","0.000","0","CE","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="052127312",="05CE2127312","","","","Y"
="05CE-2127-486",="6005A CUST EXT AL HDR TOP SIDE STFNR - LH - 486""","2.000","2","LB","0.000","0","0.000","0","CE","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="052127486",="05CE2127486","","","","Y"
="05CE-T5-PH28082-240",="6005A-T5 Cust Aerofoil Ext - 240""","17.760","17.76","LB","3,125.760","3125.76","3,500.000","3500","CE","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="05528082240",="05CET5PH28082240","","","","Y"
="05CE-T5-QT07904-636","6005A-T5 Cust Ext. Heliflex 5000 HT-SED x 636""","0.000","0","LB","0.000","0","0.000","0","CE","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="05507904636",="05CET5QT07904636","","","",""
="05CE-T6-QT14293-636","6005A-T6 Cust Ext. Heliflex - I14 x 636""","0.000","0","LB","0.000","0","0.000","0","CE","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="05614293636",="05CET6QT14293636","","","",""
"05HX.625T5",="6005A-T5 HEX Bar 5/8""","13,626.000","13626","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="056255",="05HX625T5","","","",""
"05RD.4687T5",="6005A-T5 Round Bar 15/32""","14,427.000","14427","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="0546875",="05RD4687T5","","","",""
"1026RT1.5-.219","1026 Steel Round Tube 1.50"" OD x .219"" Wall","0.000","0","LB","54,000.000","54000","54,000.000","54000","RT","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","C","",,"","Raw Material","R","",="102615219",="1026RT15219","","","",""
"1026RT1.875-.1875","1026 Steel Round Tube 1.875"" OD x .1875"" Wall","186,989.435","186989.435","LB","367,737.600","367737.6","329,932.800","329932.8","RT","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","C","",,"","Raw Material","R","",="102618751875",="1026RT18751875","","","",""
"11HX.236T3","2011-T3 CF HEX Bar .236"" (6mm) x 144""","2,040.380","2040.38","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="112363",="11HX236T3","","","",""
"11HX.25T3",="2011-T3 CF HEX Bar 1/4"" x 144""","2,326.400","2326.4","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="11253",="11HX25T3","","","",""
"11HX.3125T3",="2011-T3 CF HEX Bar 5/16"" x 144""","776.740","776.74","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1131253",="11HX3125T3","","","",""
"11HX.375T3",="2011-T3 CF HEX Bar 3/8"" x 144""","0.000","0","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="113753",="11HX375T3","","","",""
"11HX.394T3","2011-T3 CF HEX Bar .394"" X 144""","1,797.000","1797","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="113943",="11HX394T3","","","",""
"11HX.4375T3",="2011-T3 CF HEX Bar 7/16"" x 144""","1,322.898","1322.898","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1143753",="11HX4375T3","","","",""
"11HX.5118T3","2011-T3 CF HEX Bar .5118"" X 144""","1,049.400","1049.4","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1151183",="11HX5118T3","","","",""
"11HX.5188T3","2011-T3 CF HEX Bar .5188"" X 144""","0.000","0","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1151883",="11HX5188T3","","","",""
"11HX.5625T3",="2011-T3 CF HEX Bar 9/16 X 144""","2,156.000","2156","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1156253",="11HX5625T3","","","",""
"11HX.5T3",="2011-T3 CF HEX Bar 1/2"" X 144""","9,289.000","9289","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1153",="11HX5T3","","","",""
"11HX.625T3",="2011-T3 CF HEX Bar 5/8"" x 144""","2,179.000","2179","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="116253",="11HX625T3","","","",""
"11HX.6875T3",="2011-T3 CF HEX Bar 11/16"" x 144""","2,096.790","2096.79","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1168753",="11HX6875T3","","","",""
"11HX.8125",="2011-T3 CF HEX Bar 13/16"" x 144""","0.000","0","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="118125",="11HX8125","","","",""
"11HX1.125T3",="2011-T3 CF HEX Bar 1-1/8"" x 144""","0.000","0","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1111253",="11HX1125T3","","","",""
"11HX1.25T3",="2011-T3 CF HEX Bar 1-1/4"" X 144""","1,054.000","1054","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="111253",="11HX125T3","","","",""
="11HX1T3",="2011-T3 CF HEX Bar 1"" x 144""","0.000","0","LB","0.000","0","0.000","0","HX","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1113",="11HX1T3","","","",""
"11PL.375H14-48.5-144.5","1100 H14 Plate .375"" X 48.5"" X 144.5""","0.000","0","LB","0.000","0","0.000","0","PL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="11375144851445",="11PL375H144851445","","","",""
"11PL.50H14-48.5-144.5","1100 H14 PLATE 0.50"" X 48.5"" X 144.5""","9,614.000","9614","LB","0.000","0","0.000","0","PL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1150144851445",="11PL50H144851445","","","",""
"11PL.5H14","1100-H14 Plate .50""","420.249","420.249","LB","0.000","0","0.000","0","PL","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="11514",="11PL5H14","","","",""
"11RD.125T3",="2011-T3 CF Round Bar 1/8"" x 144""","731.460","731.46","LB","0.000","0","1,000.000","1000","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="111253",="11RD125T3","","","",""
"11RD.1562T3",="2011-T3 CF Round Bar 5/32"" x 144""","209.680","209.68","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1115623",="11RD1562T3","","","",""
"11RD.187T3",="2011-T3 CF Round Bar 3/16"" x 144""","605.000","605","LB","0.000","0","1,000.000","1000","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="111873",="11RD187T3","","","",""
"11RD.2187T3",="2011-T3 CF Round Bar 7/32"" x 144""","225.000","225","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1121873",="11RD2187T3","","","",""
"11RD.2362T3",="2011-T3 CF Round Bar (6mm) x 144""","1,010.000","1010","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1123623",="11RD2362T3","","","",""
"11RD.25T3",="2011-T3 CF Round Bar 1/4"" x 144""","3,573.920","3573.92","LB","0.000","0","2,000.000","2000","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="11253",="11RD25T3","","","",""
"11RD.2812T3",="2011-T3 CF Round Bar 9/32"" x 144""","0.000","0","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1128123",="11RD2812T3","","","",""
"11RD.3125T3",="2011-T3 CF Round Bar 5/16"" x 144""","3,418.330","3418.33","LB","0.000","0","0.000","0","RD","","","","","","","Buy","B","NE","0.000","0","0.000","0","0.000","0","0.000","0","A","",,"","Raw Material","R","",="1131253",="11RD3125T3","","","",""
