"Name","Account #.","Our Code","Sub","Cust/Vend" as text,"Cust/Vend","Type","Region","Rating","Priority","Approved" as text,"Approved","Hold" as text,"Hold","Alt 1","Alt 2","Alt 3","Alt 4","Address1","Address2","Address3","City","State","Zip","Country","County","Phone1" as text,"Phone1","Fax1" as text,"Fax1","Phone2" as text,"Phone2","Fax2" as text,"Fax2","E-Mail","Contact","S.Person-1","S.Person-1 Name","S.Person-2","S.Person-3","S.Person-4","S.Person-5","1099 Form" as text,"1099 Form","Customer Currency","Tax ID#","Resale Cert","GL Account"
"Advance Plastic Processing",="270","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","5 Old Town Park Rd. UNIT# 41","","","New Milford","CT",="06776","","","917-1672",="917-1672",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"Advance Precision Industries Corp",="595","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="9A Mahan St","","","West Babylon","NY",="11704","","","491 - 0910",="491 - 0910",,"","631 - 491 - 0911",="631 - 491 - 0911",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="11-381785","",="4000-00-00"
"Advanced Precision Engineering",="246","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","16 Mitchell Rd. ","","","Ipswich","MA",="01938","","","380-3105",="380-3105",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Advantage Sheet Metal Mfg. ",="393","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="51 Elm Street","","","Naugatuck","CT",="06770","","","720-0929",="720-0929",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="06-1524124",="8911802-000",="4000-00-00"
"Aero Metals Consulting Services (AMCS)",="543","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","496 Joan St. ","","","Ronkonkoma","NY",="11779","","","851-4590",="851-4590",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Aeroswiss",="480","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="20 Powers Drive","","","Meriden","CT",="06451","","","634-4545",="634-4545",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="061611199",="416080-000",="4000-00-00"
"AGC Machine Corp.",="531","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","676-4907",="676-4907",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Aircraft Welding Hartford",="804","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Ajustco LLC",="344","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="99 Madison Ave Suite 620","","","New York","NY",="10016","","","370-3331",="370-3331",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Alan Dart Munroe",="129","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="382 Three Mile Road","","","Glastonbury","CT",="06033","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Albany Steel, Inc.",="258","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="566 Broadway ","","","Menands","NY",="12204","","","621-7966",="621-7966",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Alben Metal Products Inc.",="236","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="11 Iowa Avenue","","","Patterson","NJ",="07503","","","279-8891",="279-8891","279-6529",="279-6529",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="22-1833410","",="4000-00-00"
"ALBERT BROS.INC.",="317","SCRAP",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="225 EAST AURORA STREET","PO BOX 1310","","WATERBURY","CT",="06721","","",,"",,"",,"",,"","","","","","","","","","No","N","USD","","",="5095-00-00"
"Aldine Metal Products Corp.",="212","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="566 Danbury Road - Unit #1","","","New Milford","CT",="06776","","","350-2552",="350-2552","350-7630",="350-7630",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"Algonquin Industries","A00001","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="139 Farm Street","","","Bellingham","MA",="02019","United States","","966-4600",="966-4600","966-3276",="966-3276",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2673917","",="4000-00-00"
"All Inclusive, LLC",="683","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="16 Briggs Road","","","Westport","MA",="02790","","","442 - 5627",="442 - 5627",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"All Metals Industries Inc","A00002","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="4 Higgins Dr","","","Belmont","NH",="03220","United States","","654-6043",="654-6043","603-267-8577",="603-267-8577",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="02-0398281","",="4000-00-00"
"Allied Machining Co. ",="699","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Allied Precision",="351","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="106 Sleepy Hollow Drive","Suite c","","Middletown","DE",="19709","","","302-376-6844",="302-376-6844",,"",,"",,"","John@alliedprecisionusa.com",="0001","LT","Laura Trumpower","","","","","No","N","USD","","",="4000-00-00"
"All-Island Sheet Metal Inc. ",="642","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","420 Wyandanch Ave.","","","West Babylon","NY",="11704","","","491 - 8454",="491 - 8454","631 - 491 - 1270",="631 - 491 - 1270",,"",,"","orders@allislandsheetmetal.com","","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Alloys International, Inc.",="510","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="150 Remington Blvd","","","Ronkonkoma","NY",="11779","","","342 - 0043",="342 - 0043",,"","631 - 342 - 0051",="631 - 342 - 0051",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="20-1864813",="20-1864813",="4000-00-00"
"AllPage Inc. ",="562","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Alpha Grainger Mfg Inc","A00021","",="1","Customer","C","","","","","Yes","Y","No","n","","","","",="20 Discovery Way","","","Franklin ","MA",="02038","United States","","520-4005",="520-4005","520-4185",="520-4185",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2590960","Y",="4000-00-00"
"ALRECO ALUMINUM",="381","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="11299 BRIGHTON RD ","","","HENDERSON","CO",="80640","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="84-1208263","",="4000-00-00"
"Altezza LLC",="356","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","2316 Farfield Ave.","","","Bridgeport","CT",="06824","","","414-9158",="414-9158",,"",,"",,"","",="0001","","","","","","","No","N","USD","","",="4000-00-00"
"American Contracting LLC",="779","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","Newtown","CT","","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"American Custom Screw (DZ CNC Consulting INC.)",="845","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="70-6 Knickerbocker Ave","","","Bohemia","NY",="11716","","","643 - 1930",="643 - 1930",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="45-2964762","",="4000-00-00"
"American Douglas Metals, Inc.",="686","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="576 Ocoee Business Parkway","Suite 10","","Ocoee ","FL",="34761","","","855 - 6590",="855 - 6590",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="16-1074280",="16-1074280",="4000-00-00"
"American Frameless",="592","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"American Heat Treating",="326","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="16 Commerce Dr","","","Monroe","CT",="06468","","","268-1750",="268-1750",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="06-1180298",="4686960-000",="4000-00-00"
"American Machine Company",="509","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="58 Hopkinton Rd","","","Westboro ","MA",="01581","","","366-9634",="366-9634",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD",="043-078-896","",="4000-00-00"
"American Machining Techonology Inc",="265","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","141 Pickering St. ","","","Portland","CT",="06480","","","342-0005",="342-0005",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"American Pride Fasteners",="363","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","195 S. Fehr Way","","","Bay Shore ","NY",="11706","","","940-8292",="940-8292","631-940-8296",="631-940-8296",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="56-2436258",="56-2436258",="4000-00-00"
"American Shoring Inc.",="569","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="207 Lake Street","","","Newburgh","NY",="12550","","","407-4674",="407-4674",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"American Specialty Products",="768","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="101 Industrial Park Rd","","","Vernon","CT",="06066","","","871 - 2279",="871 - 2279","860 - 871 - 2592",="860 - 871 - 2592",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="061399723",="8086985-000",="4000-00-00"
"American Stainless Corporation",="650","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1374 Clinton St","","","Buffalo","NY",="14206","","","827-1100",="827-1100",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="16-1450841",="16-1450841",="4000-00-00"
"American Steel and Aluminum LLC ",="201","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="27 Elm Street ","","","Auburn","MA",="01501","","","832-9681",="832-9681",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"American Tool Company",="177","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="623 George Washington Hwy                         ","","","Lincoln","RI",="02865","","","333-0111",="333-0111                              ","334-3577",="334-3577",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"AMERICAN TURNED PRODUCTS",="335","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1944 WAGER ROAD","","","ERIE","PA",="16509","","","824-7600",="824-7600","825-8771",="825-8771",,"",,"","","","RJE","Russell Earls","","","","","No","N","USD",="89146332",="25-1465523",="4000-00-00"
"American Welding & Fabrication",="537","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="30 Precision Court","","","New Britain","CT",="06051","","","438 - 7666",="438 - 7666",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD",="20-8922969","",="4000-00-00"
"AMS Precision Machining, Inc.",="598","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","959 W. Chestnut St., Ste. 4","","","Brockton","MA",="02301","","","588 - 2283",="588 - 2283","508 - 588 - 6036",="508 - 588 - 6036",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Amtec Corp",="851","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="30 Center Pkwy      ","","","Plainfield","CT",="06374","","","230-0006",="230-0006",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"AN Designs Inc","A00005","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="111 Putter Lane","","","Torrington","CT",="06790-4632","","","482-2921",="482-2921","482-8585",="482-8585",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD",="06-1370255",="7566821-000",="4000-00-00"
"ANCO ENGINEERING Inc.",="420","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","217 Long Hill Cross Rd.","","","Shelton","CT",="06484","","","925-9235",="925-9235",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
"ANCO MACHINE INC",="736","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","","859-1178",="859-1178",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Andreucci Trucking Inc",="809","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="77 Sackett Point Rd","","","North Haven ","CT",="06473","","","239 - 9557",="239 - 9557",,"","203 - 239 - 9658",="203 - 239 - 9658",,"","","","JG","Jason Ganser","","","","","No","N","USD",="06-1155278","",="4000-00-00"
"Antron Engineering & Machine Co., Inc. ",="585","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Anvil CT LLP",="285","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="1432 Old Waterbury Rd","Suite 9","","Southbury","CT",="06844","","","405-1031",="405-1031",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD",="82-5268917",="75306464-000",="4000-00-00"
"AOT MFG LLC ",="633","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="50 A King Spring Road ","","","Windsor Locks","CT",="06096","","",,"",,"","1-860-614-4037",="1-860-614-4037",,"","","","EP","Edward Pantalena","EP","","","","No","N","USD",="84-3788906",="79487013-001",="4000-00-00"
"Apex Fabricating",="558","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Apogee Lighting",="842","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="593 Acorn St","","","Deer Park ","NY",="11729","","","254 - 6975",="254 - 6975","631 - 254 - 3860",="631 - 254 - 3860",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="37-1876602","",="4000-00-00"
"Apparatus Mfg Inc.",="354","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="13 Commerce St","La Grange Ind Park","","Poughkeepsie","NY",="12603","","","471-5116",="471-5116",,"",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="14-1684368","",="4000-00-00"
"Arcadia Manufacturing Group ",="606","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="80 Cohoes Ave","","","Green Island ","NY",="12183","","","937-5975",="937-5975","518-434-2527",="518-434-2527",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"ARCH MEDICAL SOLUTIONS ","T00023","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="31 Pecks Lane","","","Newtown","CT",="06470","United States","","426-3030",="426-3030","426-4178",="426-4178",,"",,"","","","JL","Joe Lafantano","","","","","No","N","USD",="83-3963685",="0396077-000",="4000-00-00"
"ARCHER SIGNS",="314","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="316 Boston Post Road","","","Milford","CT",="06460","","","882-8484",="882-8484",,"",,"",,"","",="0001","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"ARETE Precision Machining",="277","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="479 Valley View Road","","","Sterling","CT",="06377","","","465-6956",="465-6956",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD",="47-5100460","",="4000-00-00"
"Arlington Precision Components, llc. ",="231","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="90 New Dutch Lane","","","Fairfield","NJ",="07004","","","276-1377",="276-1377",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="47-5486434",="475-486-434/000",="4000-00-00"
"Arrow Diversified Tooling Inc.",="612","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="17 Pinney Street","P.O. Box 508 ","","Ellington","CT",="06029","","","872-9072",="872-9072","860-872-5649",="860-872-5649",,"",,"","estimating@arrowdiversified.com",="0001","JG","Jason Ganser","","","","","No","N","USD",="06-0860706",="0712695-000",="4000-00-00"
"Arthur G Russell Co., Inc.~ AGR",="423","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="750 Clark Avenue","","","Bristol","CT",="06010","","","583-4109",="583-4109","583-0686",="583-0686",,"",,"","",="0002","EP","Edward Pantalena","","","","","No","N","USD",="06-0996719",="2600021-000",="4000-00-00"
"Artisan Machining Inc.",="691","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="49 Remington Blvd",="3000lb max skid weight ","","Ronkonkoma","NY",="11779","","","589 - 1416",="589 - 1416",,"",,"",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="11-2917010",="11-2917010",="4000-00-00"
"Artistic Iron Works LLC",="638","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"ASA Auburn - American Steel and Aluminum",="145","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="27 Elm Street","","","Auburn","MA",="01501","","","832-9681",="832-9681",,"",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Athens Industries, Inc. ",="504","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="220 West Street ","P.O. Box 487","","Southington","CT",="06489","","","621-8957",="621-8957",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"Atlantic Fabrication Co. ",="487","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="71 Edwin Rd","","","South WIndsor","CT",="06074","","","291-9882",="291-9882",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD",="06-1369890",="7506637-000",="4000-00-00"
"ATP Industries, LLC",="822","",="1","Customer","C","","","","","Yes","Y","Yes","Y","","","","",="75 Northwest Drive","","","Plainville","CT",="06062","","","674-9440",="674-9440",,"",,"",,"","","","JG","Jason Ganser","","","","","No","N","USD","","",="4000-00-00"
"Aube Precision Tool Co., Inc.",="716","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="54 Moody Street","","","Ludlow","MA",="01056","","","589-9048",="589-9048","413-589-9196",="413-589-9196","operator","operator ",,"","","","EP","Edward Pantalena","","","","","No","N","USD",="46-2334750","TAIDIA34429907",="4000-00-00"
"Auciello Iron Works",="151","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="560 Main Street","","","Hudson","MA",="01749","","","310-0412",="310-0412","562 9982",="562 9982",,"",,"","",="0001","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Auto Industrial Machine, Inc. ",="248","",="1","Customer","C","","","","","Yes","Y","No","N","","","","","3 Electronics Ave.","","","Danvers","MA",="01923","","","777-3772",="777-3772",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD","","",="4000-00-00"
"Automec, Inc. ",="391","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="82 Calvary Street","PO Box 519","","Waltham","MA",="02453","","","893-3403",="893-3403",,"",,"",,"","",="0002","BT","Bob Thompson","","","","","No","N","USD",="04 - 2501090","",="4000-00-00"
"Avion Alloys Inc.",="414","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="4722 Northwest 2nd Avenue","","","Boca Raton","FL",="33431","","","430-5377",="430-5377","584-7450",="584-7450",,"",,"","","","","","","","","","No","N","USD","","",="5090-00-00"
"Axis CNC Incorporated",="827","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="39 Gould Rd","","","Ware","MA",="01082","","","657-6908",="657-6908",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="27-4266901","",="4000-00-00"
"Axis Technologies Inc",="670","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="39 Wilbur Street","","","Lowell","MA",="01851","","","275 - 9908",="275 - 9908",,"",,"",,"","","","BT","Bob Thompson","","","","","No","N","USD",="04-2949330",="658872320",="4000-00-00"
"Axis Tool ",="613","",="1","Customer","C","","","","","No","N","Yes","Y","","","","","","","","","","","","",,"",,"",,"",,"","",="0001","EP","Edward Pantalena","","","","","No","N","USD","","",="4000-00-00"
"AZIMUTH TECHNOLOGY",="530","",="1","Customer","C","","","","","No","N","Yes","Y","","","","",="10130 Market Street ","Suite 7 ","","Naples","FL",="34112","United States","","239-352-0600",="239-352-0600 ",,"",,"",,"","","","","","","","","","No","N","USD","","",="4000-00-00"
"B&A Company, Inc.",="132","",="1","Customer","C","","","","","Yes","Y","No","N","","","","",="160 Wampus Lane","**** REAR UNLOAD ONLY ***","","Milford","CT",="06460","","","876-7527",="876-7527",,"",,"",,"","",="0001","JL","Joe Lafantano","","","","","No","N","USD","","",="4000-00-00"
